Feature,importance
板温-现场温度,517
板温/风速,143
电流A*平均功率,133
平均功率-风向,108
板温/现场温度,92
电压A/电压C,90
功率A-风向,83
现场温度/风速,83
电压A/电压B,80
电压B/电压C,78
功率A*平均功率,78
电压B*电流A,75
风速*风向,73
光照强度+功率A,69
Unnamed: 0*风速,67
功率A+平均功率,67
电压C*电流A,66
风速/风向,64
板温+转换效率C,60
板温*现场温度,59
转换效率/转换效率A,56
光照强度-功率A,56
现场温度*风速,55
板温*风向,55
电压B-平均功率,54
功率A-平均功率,53
光照强度*风速,51
电流C/功率A,51
电流B/风向,51
板温+转换效率A,50
功率B-平均功率,49
光照强度-风向,47
电压C-功率A,47
电压C-平均功率,46
板温*风速,46
转换效率C+风速,46
Unnamed: 0/现场温度,46
现场温度*风向,46
电流B/功率A,45
Unnamed: 0/风速,45
板温+转换效率B,45
现场温度**2,44
电流A/功率B,44
板温/风向,44
现场温度/风向,44
转换效率-转换效率B,42
电流A*功率C,42
功率A+风向,42
电流A-风速,42
转换效率/转换效率B,41
Unnamed: 0*风向,38
电流A/功率C,38
功率B-风向,38
电流A/风向,38
电压B-功率A,37
功率C-风向,37
Unnamed: 0/风向,37
转换效率-转换效率C,36
功率A/风向,36
现场温度+转换效率C,36
电流A/电流C,36
电流B*功率A,36
电压A-平均功率,36
电流B+风速,36
平均功率+风向,36
电流B/电流C,35
现场温度+转换效率A,35
光照强度/风速,35
电流C+风速,35
转换效率-转换效率A,34
功率A-功率C,34
电流A/电流B,34
电流A/平均功率,34
电流C*功率B,34
光照强度/风向,33
电流C/平均功率,33
现场温度+转换效率B,33
电流C/风向,33
功率A+功率B,32
现场温度+转换效率,32
电流A-电流C,32
转换效率A-转换效率B,31
现场温度-风速,31
电流B/平均功率,31
电压B/平均功率,31
光照强度+风向,30
板温+转换效率,30
板温-风速,29
电流A/风速,29
功率B/风向,29
电压A-功率A,29
电流A*功率A,29
电流B-电流C,29
转换效率B*风速,29
转换效率A/转换效率B,28
ID*转换效率C,28
电流B*功率C,28
Unnamed: 0*转换效率C,28
转换效率B*风向,28
功率A*功率B,28
平均功率/风向,28
电流A-电流B,28
光照强度-平均功率,27
Unnamed: 0*现场温度,27
转换效率*风速,27
转换效率A/转换效率C,27
功率B+风向,27
转换效率C/风速,27
转换效率A+风速,27
光照强度*风向,27
电流B/功率C,26
功率C-平均功率,26
功率A+功率C,26
电流C-风速,26
光照强度-功率C,26
功率C*风速,25
电压A+风向,25
电压C/功率A,25
Unnamed: 0/板温,25
转换效率C*风速,25
电流B*风向,25
光照强度+平均功率,25
电流B-风速,24
电压A/平均功率,24
电压C+风向,24
电流C/风速,24
转换效率/转换效率C,24
电压A-风向,24
转换效率B/风向,24
电流C/功率B,23
板温-风向,23
现场温度+风速,23
功率B-功率C,23
转换效率C/风向,23
功率A*功率C,23
电流A+风速,23
功率B*功率C,23
功率A/平均功率,23
电流C*功率A,23
功率C/平均功率,23
电压A*功率A,23
转换效率A-转换效率C,23
Unnamed: 0*板温,22
转换效率C*风向,22
电流A*功率B,22
电流B*平均功率,22
电压A/电流A,22
电压B+风向,22
光照强度+功率C,22
电压C/平均功率,22
现场温度**1/2,22
电流B*电流C,22
转换效率C-风速,22
光照强度/电流C,21
电流B+电流C,21
电压B/电流A,21
功率B*风速,21
功率A*风向,21
电压C-风向,21
电流C*平均功率,20
板温+功率A,20
转换效率B/转换效率C,20
功率C+风向,20
转换效率C-电压B,19
板温*电流C,19
现场温度-功率A,19
ID*风速,19
转换效率A*电流A,19
电流A*风速,19
电压B/功率A,19
板温**1/2,19
电流A*电流B,19
电流A*电流C,19
光照强度-功率B,19
Unnamed: 0*转换效率A,19
板温*光照强度,18
光照强度/电流B,18
Unnamed: 0*转换效率B,18
Unnamed: 0/光照强度,18
电压A/风速,18
转换效率A-风速,18
板温+平均功率,18
Unnamed: 0+转换效率,18
转换效率A/风向,18
Unnamed: 0*转换效率,18
功率C/风向,18
功率B/平均功率,17
ID*转换效率B,17
电压A-电压C,17
转换效率-电压B,17
现场温度+电压A,17
转换效率/风向,17
转换效率A/电流C,17
功率A-功率B,17
转换效率B+风速,17
板温/光照强度,17
光照强度*电压C,17
电流C*功率C,16
转换效率*风向,16
现场温度+电压C,16
功率C*风向,16
光照强度*转换效率B,16
ID/风速,16
电流C*风速,16
光照强度+电压B,16
功率B*风向,16
ID*转换效率A,16
电流A,16
电压A*风速,16
现场温度-风向,15
光照强度/功率A,15
电压A-功率B,15
转换效率B-电压B,15
功率C/风速,15
功率A/功率B,15
板温+电压C,15
转换效率A-电压A,15
转换效率C-功率A,15
ID/板温,15
光照强度*电压B,15
光照强度*转换效率,15
转换效率B/风速,14
转换效率+风速,14
平均功率*风速,14
电压A*电流B,14
功率A/风速,14
电流B*风速,14
转换效率C-电压A,14
光照强度+功率B,14
ID*现场温度,14
电压B-风向,14
板温*转换效率A,14
转换效率A*风向,14
光照强度+转换效率,14
转换效率B-转换效率C,14
电压C-功率C,14
转换效率B-电压C,14
转换效率C*电流C,14
转换效率C/功率B,14
电压B*风速,14
转换效率+功率A,13
转换效率A/功率B,13
转换效率-风向,13
转换效率A*风速,13
现场温度*电流A,13
转换效率/风速,13
光照强度*功率A,13
转换效率A/风速,13
功率B*平均功率,13
电流C*风向,13
电流B*功率B,13
板温+风向,13
板温+风速,13
电压B/电流C,13
电压C/功率B,13
电压B-功率B,13
电压C/风速,13
转换效率A-功率A,12
转换效率B+风向,12
光照强度+电压A,12
现场温度+电压B,12
转换效率B/功率A,12
板温/功率A,12
电流A+电流B,12
板温+电压A,12
电压A*风向,12
ID/光照强度,12
电压B/电流B,12
电压C/电流A,12
光照强度*功率B,12
电流C,12
平均功率*风向,12
转换效率A-电压B,12
ID/现场温度,12
现场温度+风向,12
板温**2,12
转换效率-电压A,11
电流A+电流C,11
转换效率C/电流A,11
电压C*功率A,11
