Feature,importance
Unnamed: 0,0
Unnamed: 0.1,0
ID,0
板温,1
现场温度,0
光照强度,0
转换效率,0
转换效率A,0
转换效率B,0
转换效率C,0
电压A,0
电压B,0
电压C,1
电流A,1
电流B,2
电流C,0
功率A,1
功率B,1
功率C,2
平均功率,0
风速,0
风向,1
Unnamed: 0**2,0
Unnamed: 0**1/2,0
ID**2,0
ID**1/2,0
板温**2,0
板温**1/2,1
现场温度**2,1
现场温度**1/2,0
光照强度**2,0
光照强度**1/2,0
转换效率**2,0
转换效率**1/2,0
转换效率A**2,0
转换效率A**1/2,0
转换效率B**2,0
转换效率B**1/2,0
转换效率C**2,0
转换效率C**1/2,0
电压A**2,0
电压A**1/2,0
电压B**2,0
电压B**1/2,0
电压C**2,0
电压C**1/2,0
电流A**2,0
电流A**1/2,0
电流B**2,0
电流B**1/2,0
电流C**2,0
电流C**1/2,0
功率A**2,0
功率A**1/2,0
功率B**2,0
功率B**1/2,0
功率C**2,0
功率C**1/2,0
平均功率**2,0
平均功率**1/2,0
风速**2,0
风速**1/2,0
风向**2,0
风向**1/2,0
Unnamed: 0/ID,1
Unnamed: 0*ID,0
Unnamed: 0+ID,0
Unnamed: 0-ID,0
Unnamed: 0/板温,10
Unnamed: 0*板温,4
Unnamed: 0+板温,0
Unnamed: 0-板温,0
Unnamed: 0/现场温度,3
Unnamed: 0*现场温度,9
Unnamed: 0+现场温度,0
Unnamed: 0-现场温度,0
Unnamed: 0/光照强度,1
Unnamed: 0*光照强度,0
Unnamed: 0+光照强度,0
Unnamed: 0-光照强度,1
Unnamed: 0/转换效率,0
Unnamed: 0*转换效率,3
Unnamed: 0+转换效率,4
Unnamed: 0-转换效率,0
Unnamed: 0/转换效率A,0
Unnamed: 0*转换效率A,4
Unnamed: 0+转换效率A,0
Unnamed: 0-转换效率A,0
Unnamed: 0/转换效率B,0
Unnamed: 0*转换效率B,2
Unnamed: 0+转换效率B,0
Unnamed: 0-转换效率B,0
Unnamed: 0/转换效率C,0
Unnamed: 0*转换效率C,6
Unnamed: 0+转换效率C,0
Unnamed: 0-转换效率C,0
Unnamed: 0/电压A,0
Unnamed: 0*电压A,1
Unnamed: 0+电压A,0
Unnamed: 0-电压A,0
Unnamed: 0/电压B,0
Unnamed: 0*电压B,1
Unnamed: 0+电压B,0
Unnamed: 0-电压B,0
Unnamed: 0/电压C,1
Unnamed: 0*电压C,0
Unnamed: 0+电压C,0
Unnamed: 0-电压C,0
Unnamed: 0/电流A,0
Unnamed: 0*电流A,1
Unnamed: 0+电流A,0
Unnamed: 0-电流A,0
Unnamed: 0/电流B,1
Unnamed: 0*电流B,1
Unnamed: 0+电流B,0
Unnamed: 0-电流B,0
Unnamed: 0/电流C,1
Unnamed: 0*电流C,3
Unnamed: 0+电流C,0
Unnamed: 0-电流C,0
Unnamed: 0/功率A,0
Unnamed: 0*功率A,1
Unnamed: 0+功率A,0
Unnamed: 0-功率A,2
Unnamed: 0/功率B,1
Unnamed: 0*功率B,2
Unnamed: 0+功率B,0
Unnamed: 0-功率B,1
Unnamed: 0/功率C,0
Unnamed: 0*功率C,0
Unnamed: 0+功率C,0
Unnamed: 0-功率C,1
Unnamed: 0/平均功率,0
Unnamed: 0*平均功率,0
Unnamed: 0+平均功率,1
Unnamed: 0-平均功率,0
Unnamed: 0/风速,11
Unnamed: 0*风速,0
Unnamed: 0+风速,0
Unnamed: 0-风速,0
Unnamed: 0/风向,4
Unnamed: 0*风向,4
Unnamed: 0+风向,0
Unnamed: 0-风向,1
Unnamed: 0/Unnamed: 0**2,0
Unnamed: 0*Unnamed: 0**2,0
Unnamed: 0+Unnamed: 0**2,0
Unnamed: 0-Unnamed: 0**2,0
Unnamed: 0/Unnamed: 0**1/2,0
Unnamed: 0*Unnamed: 0**1/2,0
Unnamed: 0+Unnamed: 0**1/2,0
Unnamed: 0-Unnamed: 0**1/2,0
Unnamed: 0/ID**2,0
Unnamed: 0*ID**2,0
Unnamed: 0+ID**2,0
Unnamed: 0-ID**2,0
Unnamed: 0/ID**1/2,0
Unnamed: 0*ID**1/2,0
Unnamed: 0+ID**1/2,0
Unnamed: 0-ID**1/2,0
Unnamed: 0/板温**2,4
Unnamed: 0*板温**2,1
Unnamed: 0+板温**2,1
Unnamed: 0-板温**2,0
Unnamed: 0/板温**1/2,4
Unnamed: 0*板温**1/2,1
Unnamed: 0+板温**1/2,2
Unnamed: 0-板温**1/2,0
Unnamed: 0/现场温度**2,3
