Feature,importance
板温-现场温度,511
电压B/电压C,159
电压A/电压C,149
板温/风速,138
电流A*平均功率,122
板温/现场温度,116
功率A-风向,110
平均功率-风向,108
电压A/电压B,103
功率A*平均功率,86
风速*风向,82
现场温度/风速,77
电流C/功率A,74
电压B*电流A,74
Unnamed: 0/现场温度,74
Unnamed: 0*风速,70
现场温度*风速,68
功率A+平均功率,67
功率A-平均功率,67
板温*风向,67
光照强度+功率A,66
电流A*功率C,65
功率A+风向,63
电流A-风速,63
光照强度-功率A,62
风速/风向,62
电流A/功率B,61
电压B-功率A,61
板温+转换效率A,60
转换效率-转换效率B,59
光照强度*风速,59
光照强度+风向,57
电压C-平均功率,57
转换效率/转换效率A,57
转换效率/转换效率B,57
电压A-平均功率,56
光照强度-风向,56
板温*现场温度,55
功率C-风向,55
板温*风速,54
电压C*电流A,54
板温+转换效率B,53
现场温度/风向,52
电流A-电流B,52
转换效率A-转换效率B,52
光照强度*风向,51
功率A-功率B,50
转换效率-转换效率A,50
电流A/平均功率,50
电流B/风向,50
电流B/功率A,48
板温/风向,47
电压B/平均功率,47
电流B-电流C,46
光照强度/风向,46
功率B-平均功率,46
现场温度**2,46
功率A/风向,46
光照强度/风速,45
板温+转换效率C,45
电流B+风速,45
Unnamed: 0/风速,45
功率C-平均功率,44
电流C/平均功率,44
Unnamed: 0*风向,44
电流C+风速,43
电流A-电流C,43
电压B-平均功率,43
电压C-功率A,42
电流A/风向,42
ID*风向,42
现场温度*风向,42
电流A/功率C,42
电流A/电流B,42
Unnamed: 0*现场温度,41
电流A/电流C,41
电压A-风向,41
转换效率A/转换效率C,39
平均功率+风向,39
电流C/功率B,39
电流C-风速,38
现场温度+转换效率C,38
转换效率A-转换效率C,38
功率A-功率C,37
现场温度+转换效率B,37
Unnamed: 0/板温,37
电流B/电流C,37
现场温度-风速,36
转换效率C+风速,36
Unnamed: 0*转换效率C,35
板温+转换效率,34
功率B-风向,34
转换效率A/转换效率B,34
电流B/功率C,34
功率B/平均功率,33
现场温度+风速,33
Unnamed: 0/风向,33
电流B-风速,33
现场温度+转换效率,32
电流B/平均功率,32
转换效率C*风速,32
电流A*功率A,32
功率A*功率B,31
电流C/风向,31
光照强度+平均功率,31
ID*转换效率C,30
电流C*功率B,30
转换效率/转换效率C,30
Unnamed: 0*转换效率A,30
转换效率B/风向,29
功率C*风速,29
功率B/风向,29
电压A+风向,29
